Portfolio,Rendement (%),Volatilité (%),Sharpe,Cardinalité
Équipondéré,10.421580361220142,22.14063057829727,0.3803676833610674,196
Min Variance,8.662601778992713,13.528356164843888,0.4924916004434302,19
Tangent,16.11093488226722,20.65017985796435,0.6833322992499226,95
