Méthode,Rendement (%),Volatilité (%),Sharpe,Cardinalité,Coûts (%)
Markowitz Tangent,16.11093488226722,20.65017985796435,0.6833322992499226,95,0.5
NSGA-II bi-obj (meilleur Sharpe),17.799738469991944,23.657074437046983,0.6678652726919416,20,0.49999999999999994
NSGA-II bi-obj K=20 (meilleur Sharpe),31.436378259793475,31.269284312798078,0.941383178627647,20,0.5
NSGA-II tri-obj K=20 (meilleur Sharpe),25.697145191210602,27.089368648129646,0.8747765774469883,20,0.5
